id,title,authors,journal,month,year,publication_type
1566,Object detection using feature subset selection,"Zehang Sun A, George Bebis A, Ronald Miller B",,,2003,
1567,Object Detection Using Feature Subset Selection,"Zehang Sun, George Bebis, Ronald Miller",,,,
1568,Modelling Adaptivity with Aspects.,"Hubert Baumeister, Alexander Knapp, Nora Koch, Gefei Zhang",,,2005,inproceedings
1569,Modelling Adaptivity with Aspects ,"Hubert Baumeister, Nora Koch, Gefei Zhang",,,,
1570,Modelling Adaptivity with Aspects ,"Hubert Baumeister, Nora Koch, Gefei Zhang, Ludwig-maximilians-universitt Mnchen",,,,
1571,Geometry Compression of Normal Meshes Using Rate-Distortion Algorithms,"L. Kobbelt, P. Schrder, Sridhar Lavu, Hyeokho Choi, Richard Baraniuk",,,,
1572,Geometry Compression of Normal Meshes Using Rate-Distortion Algorithms,"L. Kobbelt, P. Schrder, Sridhar Lavu, Hyeokho Choi, Richard Baraniuk",,,,
1573,Geometry Compression of Normal Meshes Using Rate-Distortion Algorithms.,"Sridhar Lavu, Hyeokho Choi, Richard G. Baraniuk",,,2003,inproceedings
1574,Simultaneous Multithreading: Maximizing On-Chip Parallelism,"Dean M. Tullsen, Susan J. Eggers, Henry M. Levy",,,,
1575,Retrospective: Simultaneous Multithreading: Maximizing On-Chip Parallelism.,"Dean M. Tullsen, Susan J. Eggers, Henry M. Levy",,,1998,inproceedings
1576,Simultaneous Multithreading: Maximizing On-Chip Parallelism.,"Dean M. Tullsen, Susan J. Eggers, Henry M. Levy",,,1995,inproceedings
1577,Simultaneous Multithreading: Maximizing On-Chip Parallelism.,"Dean M. Tullsen, Susan J. Eggers, Henry M. Levy",,,1998,inproceedings
1578,Simultaneous Multithreading: Maximizing On-Chip Parallelism,"Dean M. Tullsen, Susan J. Eggers, Henry M. Levy",,,,
1579,Invariant characterisation of the Hough transform for pose estimation of arbitrary shapes.,"Alberto S. Aguado, Eugenia Montiel, Mark S. Nixon",Pattern Recognition,,2002,article
1580,Invariant Characterization of the Hough Transform for Pose Estimation of Arbitrary Shapes,"Alberto S. Aguado, Eugenia Montiel, Mark S. Nixon",,,,
1581,Invariant Characterization of the Hough Transform for Pose Estimation of Arbitrary Shapes.,"Alberto S. Aguado, Eugenia Montiel, Mark S. Nixon",,,2000,inproceedings
1582,A Need-Oriented Assessment of Technological Trends in Web Engineering.,"Damith C. Rajapakse, Stan Jarzabek",,,2005,inproceedings
1583,A Need-Oriented Assessment of Technological Trends in Web Engineering,"Damith C. Rajapakse, Stan Jarzabek",,,,
1584,A Need-Oriented Assessment of Technological Trends in Web Engineering,"Damith C. Rajapakse, Stan Jarzabek",,,,
1585,Model Selection: Beyond the Bayesian/Frequentist Divide,"Isabelle Guyon, Amir Saffari, Gideon Dror, Gavin Cawley",,,,
1586,Model Selection: Beyond the Bayesian/Frequentist Divide,"Isabelle Guyon, Amir Saffari, Gideon Dror, Gavin Cawley",,,,
1587,Model Selection: Beyond the Bayesian/Frequentist Divide.,"Isabelle Guyon, Amir Saffari, Gideon Dror, Gavin C. Cawley",Journal of Machine Learning Research,,2010,article
1588,"Optimal-Time Adaptive Strong Renaming, with Applications to Counting [Extended Abstract]","Dan Alistarh, James Aspnes, Keren Censor-hillel, Morteza Zadimoghaddam, Seth Gilbert",,,,
1589,"Optimal-Time Adaptive Strong Renaming, with Applications to Counting [Extended Abstract]","Dan Alistarh, James Aspnes, Keren Censor-hillel, Morteza Zadimoghaddam, Seth Gilbert",,,,
1590,"Optimal-Time Adaptive Strong Renaming, with Applications to Counting [Extended Abstract]","Dan Alistarh, James Aspnes, Keren Censor-hillel, Morteza Zadimoghaddam, Seth Gilbert",,,,
1591,"Optimal-time adaptive strong renaming, with applications to counting.","Dan Alistarh, James Aspnes, Keren Censor-Hillel, Seth Gilbert, Morteza Zadimoghaddam",,,2011,inproceedings
1592,Your Best might not be Good enough: Ranking in Collaborative Social Search Engines,"Prantik Bhattacharyya, Shyhtsun Felix Wu, Karen Haigh, Niklas Lavesson, Henric Johnson",,,,
1593,Your Best might not be Good enough: Ranking in Collaborative Social Search Engines,"Prantik Bhattacharyya, Jeff Rowe, Shyhtsun Felix Wu, Karen Haigh, Niklas Lavesson, Henric Johnson",,,,
1594,Your best might not be good enough: Ranking in collaborative social search engines.,"Prantik Bhattacharyya, Jeff Rowe, Shyhtsun Felix Wu, Karen Zita Haigh, Niklas Lavesson, Henric Johnson",,,2011,inproceedings
1595,A UML 2.0 profile for WebML modeling.,"Nathalie Moreno, Piero Fraternali, Antonio Vallecillo",,,2006,inproceedings
1596,A UML 2.0 Profile for WebML Modeling,"Nathalie Moreno, Piero Fraternalli, Antonio Vallecillo",,,,
1597,A UML 2.0 Profile for WebML Modeling,"Nathalie Moreno, Piero Fraternalli, Antonio Vallecillo",,,,
1598,An Analysis of Single-Layer Networks in Unsupervised Feature Learning,"Adam Coates, Honglak Lee, Andrew Y. Ng",,,,
1599,An Analysis of Single-Layer Networks in Unsupervised Feature Learning,"Adam Coates, Honglak Lee, Andrew Y. Ng",,,,
1600,An Analysis of Single-Layer Networks in Unsupervised Feature Learning,"Adam Coates, Honglak Lee, Andrew Y. Ng",,,,
1601,An Analysis of Single-Layer Networks in Unsupervised Feature Learning,"Adam Coates, Honglak Lee, Andrew Y. Ng",,,,
1602,An Analysis of Single-Layer Networks in Unsupervised Feature Learning.,"Adam Coates, Andrew Y. Ng, Honglak Lee",,,2011,inproceedings
1603,Distributed (  + 1)-Coloring in Linear (in ) Time,"Leonid Barenboim, Michael Elkin",,,,
1604,Distributed (  + 1)-Coloring in Linear (in ) Time,"Leonid Barenboim, Michael Elkin",,,,
1605,Distributed (Delta + 1)-coloring in linear (in Delta) time,"Leonid Barenboim, Michael Elkin",CoRR,,2008,article
1606,On matching brain volumes.,James C. Gee,Pattern Recognition,,1999,article
1607,On Matching Brain Volumes,James C. Gee,,,,
1608,On matching brain volumes,J. C. Gee,,,,
1609,Nearly Optimal Sparse Fourier Transform,"Haitham Hassanieh, Piotr Indyk, Dina Katabi, Eric Price",,,,
1610,Nearly optimal sparse fourier transform.,"Haitham Hassanieh, Piotr Indyk, Dina Katabi, Eric Price",,,2012,inproceedings
1611,Nearly Optimal Sparse Fourier Transform,"Haitham Hassanieh, Piotr Indyk, Dina Katabi, Eric Price",CoRR,,2012,article
1612,Combining Memory and a Controller with Photonics through 3D-Stacking to Enable Scalable and Energy-Efficient Systems,"Aniruddha N. Udipi, Naveen Muralimanohar, Rajeev Balsubramonian, Al Davis",,,,
1613,Combining memory and a controller with photonics through 3D-stacking to enable scalable and energy-efficient systems.,"Aniruddha N. Udipi, Naveen Muralimanohar, Rajeev Balasubramonian, Al Davis, Norman P. Jouppi",,,2011,inproceedings
1614,Combining Memory and a Controller with Photonics through 3D-Stacking to Enable Scalable and Energy-Efficient Systems,"Aniruddha N. Udipi, Naveen Muralimanohar, Rajeev Balsubramonian, Al Davis",,,,
1615,Optimal feature selection for support vector machines.,"Minh Hoai Nguyen, Fernando De la Torre",Pattern Recognition,,2010,article
1616,Optimal Feature Selection for Support Vector Machines,Minh Hoai Nguyen,,,,
1617,Optimal Feature Selection for Support Vector Machines,Minh Hoai Nguyen,,,,
1618,Improved Approximation Results for Stochastic Knapsack Problems,"Bhalgat Ashish, Goel Sanjeev Khanna",,,,
1619,Improved Approximation Results for Stochastic Knapsack Problems.,"Anand Bhalgat, Ashish Goel, Sanjeev Khanna",,,2011,inproceedings
1620,Improved Approximation Results for Stochastic Knapsack Problems,"Bhalgat Ashish, Goel Sanjeev Khanna",,,,
1621,"A Gentle Introduction to Multi-stage Programming, Part II.",Walid Taha,,,2007,inproceedings
1622,A Gentle Introduction to Multi-stage Programming.,Walid Taha,,,2003,inproceedings
1623,A Gentle Introduction to Multi-stage Programming  * Preliminary Draft *,Walid Taha,,,,
1624,"A Gentle Introduction to Multi-stage Programming, Part II ",Walid Taha,,,,
1625,A Gentle Introduction to Multi-stage Programming ,Walid Taha,,,,
1626,WebDSL: A Case Study in Domain-Specific Language Engineering.,Eelco Visser,,,2007,inproceedings
1627,WebDSL: A Case Study in,"Eelco Visser, Eelco Visser",,,,
1628,WebDSL: A Case Study in Domain-Specific Language Engineering,Eelco Visser,,,,
1629,A Formal Model for Rule Inheritance and Overriding in Active Object-Oriented Databases.,"Nauman A. Chaudhry, James R. Moyne, Elke A. Rundensteiner",,,1998,inproceedings
1630,A FORMAL MODEL FOR RULE INHERITANCE AND OVERRIDING IN ACTIVE OBJECT-ORIENTED DATABASES,"Nauman A. Chaudhry, James R. Moyne, Elke A. Rundensteiner",,,,
1631,1 RULE INHERITANCE AND OVERRIDING IN ACTIVE OBJECT-ORIENTED DATABASES,"Nauman Chaudhry, James Moyne",,,,
1632,A FORMAL MODEL FOR RULE INHERITANCE AND OVERRIDING IN ACTIVE OBJECT-ORIENTED DATABASES,"Nauman A. Chaudhry, James R. Moyne, Elke A. Rundensteiner",,,,
1633,Efficient Resource Utilization in Shared-Everything Environments.,"Stefan Manegold, Johann K. Obermaier",,,1998,inproceedings
1634,Ecient Resource Utilization in Shared-Everything Environments,"S. Manegold, J. K. Obermaier, Stefan Manegold, Johann K. Obermaier",,,1997,
1635,Efficient Resource Utilization in Shared-Everything Environments,"S. Manegold, J. K. Obermaier, Mathematisch Centrum (smc, The Dutch Foundation, Stefan Manegold, Johann K. Obermaier",,,,
1636,A combination model for orientation field of fingerprints.,"Jinwei Gu, Jie Zhou, David Zhang",Pattern Recognition,,2004,article
1637,A Novel Model for Orientation Field of Fingerprints,"Jinwei Gu, Jie Zhou",,,,
1638,A Novel Model for Orientation Field of Fingerprints.,"Jinwei Gu, Jie Zhou",,,2003,inproceedings
1639,On Optimizing Nearest Neighbor Queries in High-Dimensional Data Spaces.,"Stefan Berchtold, Christian Bhm, Daniel A. Keim, Florian Krebs, Hans-Peter Kriegel",,,2001,inproceedings
1640,On Optimizing Nearest Neighbor Queries in High-Dimensional Data Spaces,"Stefan Berchtold, Christian Bhm, Daniel Keim, Florian Krebs, Hans-peter Kriegel",,,,
1641,On Optimizing Nearest Neighbor Queries in High-Dimensional Data Spaces,"Stefan Berchtold, Christian Bhm, Daniel Keim, Florian Krebs, Hans-peter Kriegel",,,,
1642,Analysis of sampling techniques for association rule mining.,"Venkatesan T. Chakaravarthy, Vinayaka Pandit, Yogish Sabharwal",,,2009,inproceedings
1643,Analysis of sampling techniques for association rule mining,It Yogish Sabharwal,,,,
1644,Analysis of Sampling Techniques for Association Rule Mining,"Venkatesan T, Vinayaka Pandit, Yogish Sabharwal",,,,
1645,On the Kolmogorov Expressive Power of Boolean Query Languages.,Jerzy Tyszkiewicz,,,1995,inproceedings
1646,The Kolmogorov Expressive Power of Boolean Query Languages.,Jerzy Tyszkiewicz,Theor. Comput. Sci.,,1998,article
1647,The Kolmogorov Expressive Power of Boolean Query Languages,"Jerzy Tyszkiewicz, Mathematische Grundlagen Der Informatik",,,,
1648,Beauty and the Beast: The Theory and Practice of Information Integration.,Laura M. Haas,,,2007,inproceedings
1649,Beauty and the Beast: The Theory and Practice of Information Integration,Laura Haas,,,,
1650,Beauty and the Beast: The Theory and Practice of Information Integration,Laura Haas,,,,
1651,A Closed Form for Datalog Queries with Integer Order.,Peter Z. Revesz,,,1990,inproceedings
1652,A Closed-Form Evaluation for Datalog Queries with Integer (Gap)-Order Constraints.,Peter Z. Revesz,Theor. Comput. Sci.,,1993,article
1653,A CLOSED FORM EVALUATION FOR DATALOG QUERIES WITH INTEGER (GAP)-ORDER CONSTRAINTS,Peter Z. Revesz,,,,
1654,On the Expressiveness of Implicit Provenance in Query and Update Languages.,"Peter Buneman, James Cheney, Stijn Vansummeren",,,2007,inproceedings
1655,On the Expressiveness of Implicit Provenance in Query and Update Languages,"Peter Buneman, James Cheney, Stijn Vansummeren",,,,
1656,On the Expressiveness of Implicit Provenance in Query and Update Languages,"Peter Buneman, James Cheney, Stijn Vansummeren",,,,
1657,On the expressiveness of implicit provenance in query and update languages.,"Peter Buneman, James Cheney, Stijn Vansummeren",ACM Trans. Database Syst.,,2008,article
1658,The Data Warehouse of Newsgroups.,"Himanshu Gupta, Divesh Srivastava",,,1999,inproceedings
1659,The Data Warehouse of Newsgroups,"Himanshu Gupta, Divesh Srivastava",,,,
1660,The Data Warehouse of Newsgroups,"Himanshu Gupta, Divesh Srivastava",,,,
1661,The Data Warehouse of Newsgroups,"Himanshu Gupta, Divesh Srivastava",,,,
1662,Texture analysis using feature-based pairwise interaction maps.,Dmitry Chetverikov,Pattern Recognition,,1999,article
1663,Texture Analysis Using Pairwise Interaction Maps.,Dmitry Chetverikov,,,1997,inproceedings
1664,Texture Analysis Using Pairwise Interaction Maps,Dmitry Chetverikov,,,,
1665,Texture Analysis Using Feature Based Pairwise Interaction Maps,Dmitry Chetverikov,,,,
1666,Data Exchange: Semantics and Query Answering.,"Ronald Fagin, Phokion G. Kolaitis, Rene J. Miller, Lucian Popa",,,2003,inproceedings
1667,Data exchange: semantics and query answering.,"Ronald Fagin, Phokion G. Kolaitis, Rene J. Miller, Lucian Popa",Theor. Comput. Sci.,,2005,article
1668,Data Exchange: Semantics and Query Answering Abstract,"Fagin Ronald, Phokion G. Kolaitis, Rene Miller",,,,
1669,Data Exchange: Semantics and Query Answering,"Ronald Fagin, Phokion G. Kolaitis, Rene J. Miller, Lucian Popa",,,,
1670,Data Exchange: Semantics and Query Answering Abstract,"Fagin Ronald, Phokion G. Kolaitis, Rene Miller",,,,
1671,Data Exchange: Semantics and Query Answering  Abstract,"Ronald Fagin, Phokion G. Kolaitis, Rene J. Miller, Lucian Popa",,,,
1672,Data Exchange: Semantics and Query Answering,"Ronald Fagin, Phokion G. Kolaitis, Rene J. Miller, Lucian Popa",,,,
1673,First-Order Query Rewriting for Inconsistent Databases.,"Ariel Fuxman, Rene J. Miller",,,2005,inproceedings
1674,First-Order Query Rewriting for Inconsistent Databases,"Ariel D. Fuxman, Rene J. Miller",,,,
1675,First-order query rewriting for inconsistent databases,"Ariel Fuxman, Rene J. Miller",,,2006,
1676,First-order query rewriting for inconsistent databases.,"Ariel Fuxman, Rene J. Miller",J. Comput. Syst. Sci.,,2007,article
1677,Introduction to the Theory of Nested Transactions.,"Nancy A. Lynch, Michael Merritt",,,1986,inproceedings
1678,Introduction to the Theory of Nested Transactions.,"Nancy A. Lynch, Michael Merritt",Theor. Comput. Sci.,,1988,article
1679,Introduction to the Theory of Nested Transactions,Nancy Lynch,,,,
1680,The Complexity of Iterated Belief Revision.,Paolo Liberatore,,,1997,inproceedings
1681,The Complexity of Iterated Belief Revision,Paolo Liberatore,,,,
1682,The Complexity of Iterated Belief Revision,Paolo Liberatore,,,,
1683,Hybrid Atomicity for Nested Transactions.,"Alan Fekete, Nancy A. Lynch, William E. Weihl",,,1992,inproceedings
1684,Hybrid Atomicity for Nested Transactions.,"Alan Fekete, Nancy A. Lynch, William E. Weihl",Theor. Comput. Sci.,,1995,article
1685,Hybrid atomicity for nested transactions,"Alan Fekete, Nancy Lynch B, William E. Weihl B",,,,
1686,Hybrid Atomicity for Nested Transactions,"Alan Fekete, Nancy Lynch, William E. Weihl",,,,
1687,Hybrid Atomicity for Nested Transactions,"Alan Fekete, Nancy Lynch, William E. Weihl, Alan Fekete *l, Nancy Lynch, William E. Weihl",,,,
1688,Decidable Containment of Recursive Queries.,"Diego Calvanese, Giuseppe De Giacomo, Moshe Y. Vardi",,,2003,inproceedings
1689,Decidable containment of recursive queries.,"Diego Calvanese, Giuseppe De Giacomo, Moshe Y. Vardi",Theor. Comput. Sci.,,2005,article
1690,Decidable Containment of Recursive Queries,"Diego Calvanese, Moshe Y. Vardi",,,,
1691,www.elsevier.com/locate/tcs Decidable containment of recursive queries,"Diego Calvanese A, Moshe Y. Vardi C",,,,
1692,On provenance and privacy.,"Susan B. Davidson, Sanjeev Khanna, Sudeepa Roy, Julia Stoyanovich, Val Tannen, Yi Chen 0001",,,2011,inproceedings
1693,On Provenance and Privacy,"Susan B. Davidson, Sanjeev Khanna, Sudeepa Roy, Julia Stoyanovich, Val Tannen, Yi Chen",,,,
1694,On Provenance and Privacy.,Susan B. Davidson,,,2010,inproceedings
1695,Domain-Independent Queries on Databases with External Functions.,Dan Suciu,,,1995,inproceedings
1696,Domain-Independent Queries on Databases with External Functions.,Dan Suciu,Theor. Comput. Sci.,,1998,article
1697,Domain-Independent Queries on Databases with External Functions,Dan Suciu,,,,
1698,Domain-Independent Queries on Databases with External Functions,Dan Suciu,,,,
1699,Domain-Independent Queries on Databases with External Functions,"Dan Suciu, Dan Suciu",,,,
1700,Domain-Independent Queries on Databases with External Functions,Dan Suciu,,,,
1701,Computational Generation of Referring Expressions: A Survey,"Emiel Krahmer, Kees Van Deemter",,,,
1702,Computational Generation of Referring Expressions: A Survey.,"Emiel Krahmer, Kees van Deemter",Computational Linguistics,,2012,article
1703,Computational Generation of Referring Expressions: A Survey,"Emiel Krahmer, Kees Van Deemter",,,,
1704,Approximation in Databases.,Leonid Libkin,,,1995,inproceedings
1705,Approximation in Databases,Leonid Libkin,,,,
1706,Approximation in Databases,Leonid Libkin,,,,
1707,"View-Based Query Processing: On the Relationship Between Rewriting, Answering and Losslessness.","Diego Calvanese, Giuseppe De Giacomo, Maurizio Lenzerini, Moshe Y. Vardi",,,2005,inproceedings
1708,"View-based query processing: On the relationship between rewriting, answering and losslessness.","Diego Calvanese, Giuseppe De Giacomo, Maurizio Lenzerini, Moshe Y. Vardi",Theor. Comput. Sci.,,2007,article
1709,"View-based Query Processing: On the Relationship between Rewriting, Answering and Losslessness ","Diego Calvanese, Maurizio Lenzerini, Moshe Y. Vardi",,,,
1710,View-based query processing: On the relationship between,"Diego Calvanese A, Maurizio Lenzerini B, Moshe Y. Vardi C",,,,
1711,"View-based Query Processing: On the Relationship between Rewriting, Answering and Losslessness","Diego Calvanese, Maurizio Lenzerini, Moshe Y. Vardi",,,,
1712,"View-Based Query Processing: On the Relationship Between Rewriting, Answering and Losslessness ","Diego Calvanese, Maurizio Lenzerini, Moshe Y. Vardi",,,,
1713,"View-based Query Processing: On the Relationship between Rewriting, Answering and Losslessness","Diego Calvanese, Maurizio Lenzerini, Moshe Y. Vardi",,,,
1714,On the tradeoff between mapping and querying power in XML data exchange.,"Shun'ichi Amano, Claire David, Leonid Libkin, Filip Murlak",,,2010,inproceedings
1715,On the Tradeoff between Mapping and Querying Power in XML Data Exchange ,"Claire David, Leonid Libkin, Filip Murlak",,,,
1716,On the Tradeoff between Mapping and Querying Power in XML Data Exchange ,"Claire David, Leonid Libkin, Filip Murlak",,,,
1717,Magic Sets and Their Application to Data Integration.,"Wolfgang Faber, Gianluigi Greco, Nicola Leone",,,2005,inproceedings
1718,Magic Sets and their Application to Data Integration ,"Wolfgang Faber, Gianluigi Greco, Nicola Leone",,,,
1719,Magic Sets and their Application to Data Integration.,"Wolfgang Faber, Gianluigi Greco, Nicola Leone",,,2005,inproceedings
1720,Magic Sets and their application to data integration.,"Wolfgang Faber, Gianluigi Greco, Nicola Leone",J. Comput. Syst. Sci.,,2007,article
1721,On the Complexity of Queries in the Logical Data Model (Extended Abstract).,"Gabriel M. Kuper, Moshe Y. Vardi",,,1988,inproceedings
1722,On the Complexity of Queries in the Logical Data Model.,"Gabriel M. Kuper, Moshe Y. Vardi",Theor. Comput. Sci.,,1993,article
1723,On the Complexity of Queries in the Logical Data Model,"Gabriel M. Kuper, Moshe Y. Vardi",,,,
1724,A compositional framework for complex queries over uncertain data.,"Michaela Gtz, Christoph Koch",,,2009,inproceedings
1725,A Compositional Framework for Complex Queries over Uncertain Data,"Michaela Gtz, Christoph Koch",,,,
1726,A Compositional Framework for Complex Queries over Uncertain Data,"Michaela Gtz, Christoph Koch",,,,
1727,Optimizing Schema Languages for XML: Numerical Constraints and Interleaving.,"Wouter Gelade, Wim Martens, Frank Neven",,,2007,inproceedings
1728,Optimizing Schema Languages for XML: Numerical Constraints and Interleaving.,"Wouter Gelade, Wim Martens, Frank Neven",SIAM J. Comput.,,2009,article
1729,Optimizing Schema Languages for XML: Numerical Constraints and Interleaving,"Wouter Gelade, Wim Martens, Frank Neven",,,,
1730,OPTIMIZING SCHEMA LANGUAGES FOR XML: NUMERICAL CONSTRAINTS AND INTERLEAVING ,"Wouter Gelade, Wim Martens, Frank Neven",,,,
1731,Optimizing Schema Languages for XML: Numerical Constraints and Interleaving,"Wouter Gelade, Wim Martens, Frank Neven",,,,
1732,Optimizing Schema Languages for XML: Numerical Constraints and Interleaving,"Wouter Gelade, Wim Martens, Frank Neven",,,,
1733,Declarative Foundations of Secure Deductive Databases.,"Piero A. Bonatti, Sarit Kraus, V. S. Subrahmanian",,,1992,inproceedings
1734,Foundations of Secure Deductive Databases,"Piero Bonatti, Sarit Kraus, V. S. Subrahmanian",,,,
1735,Foundations of Secure Deductive Databases,"Piero A. Bonatti, Sarit Kraus, V. S. Subrahmanian",,,,
1736,Foundations of Secure Deductive Databases.,"Piero A. Bonatti, Sarit Kraus, V. S. Subrahmanian",IEEE Trans. Knowl. Data Eng.,,1995,article
1737,The Design Space of Type Checkers for XML Transformation Languages.,"Anders Mller, Michael I. Schwartzbach",,,2005,inproceedings
1738,The Design Space of Type Checkers for XML Transformation Languages,"Anders Mller, Michael I. Schwartzbach",,,,
1739,This document in subdirectoryRS/04/34/ The Design Space of Type Checkers for XML Transformation Languages,"Anders Mller, Michael I. Schwartzbach, Copyright C, Anders Mller, Michael I. Schwartzbach, Anders Mller, Michael I. Schwartzbach",,,909,
1740,The Design Space of Type Checkers for XML Transformation Languages,"Anders Mller, Michael I. Schwartzbach",,,,
1741,This document in subdirectoryRS/04/34/ The Design Space of Type Checkers for XML Transformation Languages,"Anders Mller, Michael I. Schwartzbach, Copyright C, Anders Mller, Michael I. Schwartzbach, Anders Mller, Michael I. Schwartzbach",,,909,
1742,On Decidability and Complexity of Description Logics with Uniqueness Constraints.,"Vitaliy L. Khizder, David Toman, Grant E. Weddell",,,2001,inproceedings
1743,On Decidability and Complexity of Description Logics with Uniqueness Constraints,"Vitaliy L. Khizder, David Toman, Grant Weddell",,,,
1744,On Decidability and Complexity of Description Logics with Uniqueness Constraints,"Vitaliy L. Khizder, David Toman, Grant Weddell",,,,
1745,On Decidability and Complexity of Description Logics with Uniqueness Constraints.,"Vitaliy L. Khizder, David Toman, Grant E. Weddell",,,2000,inproceedings
1746,Algebraic Rewritings for Optimizing Regular Path Queries.,"Gsta Grahne, Alex Thomo",,,2001,inproceedings
1747,Algebraic rewritings for optimizing regular path queries.,"Gsta Grahne, Alex Thomo",Theor. Comput. Sci.,,2003,article
1748,Algebraic Rewritings for Optimizing Regular Path Queries,"Gosta Grahne, Alex Thomo",,,,
1749,The Dynamic Complexity of Transitive Closure Is In DynTC0.,William Hesse,,,2001,inproceedings
1750,The dynamic complexity of transitive closure is in DynTC0.,William Hesse,Theor. Comput. Sci.,,2003,article
1751,Abstract The Dynamic Complexity of Transitive Closure is in DynTC 0,William Hesse,,,,
1752,The Dynamic Complexity of Transitive Closure is in DynTC 0,William Hesse,,,,
1753,On using prototype reduction schemes to optimize kernel-based nonlinear subspace methods.,"Sang-Woon Kim, B. John Oommen",Pattern Recognition,,2004,article
1754,On Using Prototype Reduction Schemes and Classifier Fusion Strategies to Optimize Kernel-Based Nonlinear Subspace Methods.,"Sang-Woon Kim, B. John Oommen",IEEE Trans. Pattern Anal. Mach. Intell.,,2005,article
1755,On Using Prototype Reduction Schemes and Classifier Fusion Strategies to Optimize Kernel-Based Nonlinear Subspace Methods.,"Sang-Woon Kim, B. John Oommen",,,2003,inproceedings
1756,On Using Prototype Reduction Schemes to Optimize Kernel-Based Nonlinear Subspace Methods ,"Sang-woon Kim, B. John Oommen",,,,
1757,"Arcade- A formal, extensible, model-based dependability evaluation framework ","Hichem Boudali, Pepijn Crouzen, Boudewijn R. Haverkort, Matthias Kuntz, Marille Stoelinga",,,,
1758,"Arcade - A Formal, Extensible, Model-Based Dependability Evaluation Framework.","Hichem Boudali, Pepijn Crouzen, Boudewijn R. Haverkort, Matthias Kuntz, Marille Stoelinga",,,2008,inproceedings
1759,"Arcade- A formal, extensible, model-based dependability evaluation framework ","Hichem Boudali, Pepijn Crouzen, Boudewijn R. Haverkort, Matthias Kuntz, Marille Stoelinga",,,,
1760,Efficient asymmetric inclusion between regular expression types.,"Dario Colazzo, Giorgio Ghelli, Carlo Sartiani",,,2009,inproceedings
1761,Efficient Asymmetric Inclusion Between Regular Expression Types,"Dario Colazzo, Giorgio Ghelli, Carlo Sartiani",,,,
1762,Efficient Asymmetric Inclusion Between Regular Expression Types,"Dario Colazzo, Giorgio Ghelli, Carlo Sartiani",,,,
1763,Selection of Views to Materialize in a Data Warehouse.,Himanshu Gupta,,,1997,inproceedings
1764,Selection of Views to Materialize in a Data Warehouse,Himanshu Gupta,,,,
1765,Selection of Views to Materialize in a Data Warehouse.,"Himanshu Gupta, Inderpal Singh Mumick",IEEE Trans. Knowl. Data Eng.,,2005,article
1766,Automatic verification of data-centric business processes.,"Alin Deutsch, Richard Hull, Fabio Patrizi, Victor Vianu",,,2009,inproceedings
1767,Automatic Verification of Data-Centric Business Processes ,"Elio Damaggio, Alin Deutsch, Richard Hull, Victor Vianu",,,,
1768,Automatic Verification of Data-Centric Business Processes.,"Elio Damaggio, Alin Deutsch, Richard Hull, Victor Vianu",,,2011,inproceedings
1769,Automatic Verification of Data-Centric Business Processes,"Alin Deutsch, Richard Hull, Fabio Patrizi, Victor Vianu",,,,
1770,Incremental Evaluation of Datalog Queries.,"Guozhu Dong, Rodney W. Topor",,,1992,inproceedings
1771,First-Order Incremental Evaluation of Datalog Queries 1,"Guozhu Dong, Jianwen Su, Rodney Topor, Guozhu Dong, Jianwen Su, Rodney Topor",,,,
1772,Nonrecursive Incremental Evaluation of Datalog Queries,"Guozhu Dong, Jianwen Su, Rodney Topor",,,,
1773,First-Order Incremental Evaluation of Datalog Queries.,"Guozhu Dong, Jianwen Su",,,1993,inproceedings
1774,Nonrecursive Incremental Evaluation of Datalog Queries.,"Guozhu Dong, Jianwen Su, Rodney W. Topor",Ann. Math. Artif. Intell.,,1995,article
1775,Combining Temporal Logics for Querying XML Documents.,"Marcelo Arenas, Pablo Barcel, Leonid Libkin",,,2007,inproceedings
1776,Combining Temporal Logics for Querying XML Documents,"Marcelo Arenas, Pablo Barcel, Leonid Libkin",,,,
1777,Combining Temporal Logics for Querying XML Documents,"Marcelo Arenas, Pablo Barcel, Leonid Libkin",,,,
1778,Combining Temporal Logics for Querying XML Documents,"Marcelo Arenas, Pablo Barcel, Leonid Libkin",,,,
1779,Knowledge compilation meets database theory: compiling queries to decision diagrams.,"Abhay Kumar Jha, Dan Suciu",,,2011,inproceedings
1780,Knowledge Compilation Meets Database Theory: Compiling Queries to Decision Diagrams.,"Abhay Kumar Jha, Dan Suciu",Theory Comput. Syst.,,2013,article
1781,Knowledge Compilation Meets Database Theory: Compiling Queries to Decision Diagrams ,"Abhay Jha, Dan Suciu",,,,
1782,On the Generation of 2-Dimensional Index Workloads.,"Joseph M. Hellerstein, Lisa Hellerstein, George Kollios",,,1999,inproceedings
1783,On the Generation of 2-Dimensional Index Workloads,"Joseph M. Hellerstein, U. C. Berkeley, Lisa Hellerstein, George Kollios",,,,
1784,On the Generation of 2-Dimensional Index,"Joseph M. Hellerstein, George Kollios",,,,
1785,On the Generation of 2-Dimensional Index Workloads,"Joseph M. Hellerstein, U. C. Berkeley, Lisa Hellerstein, George Kollios",,,,
1786,Scalar Aggregation in FD-Inconsistent Databases.,"Marcelo Arenas, Leopoldo E. Bertossi, Jan Chomicki",,,2001,inproceedings
1787,Scalar Aggregation in FD-Inconsistent Databases,"Marcelo Arenas, Leopoldo Bertossi, Jan Chomicki",,,,
